App,LOC,Total Methods,App Methods,Concrete App Methods,Total Methods FD, FD App Methods,Total Methods Droidel, Droidel App Methods,FD Per Missed, Droidel Per Missed, Time FlowDroid, Time Droidel, Time Call Graph Droidel
spycamera,0,2209,254,156,277,61,45002,202,74.358974359,3.20512820513,0,0,0
k9,0,14746,5357,1905,4123,2337,75833,4447,33.4908136483,6.92913385827,0,0,0
duckduckgo,0,14185,935,520,2577,484,51838,613,32.3076923077,13.6538461538,0,0,0
wordpress,0,18116,5796,2042,6431,2932,62496,4774,32.3212536729,3.9666993144,0,0,0
github,0,17751,2407,56,2431,592,52045,1957,96.4285714286,64.2857142857,0,0,0
drupaleditor,0,1407,325,90,1506,232,47495,266,13.3333333333,2.22222222222,0,0,0
textsecure,0,47303,4459,1364,8626,2038,53768,2494,32.1847507331,16.348973607,0,0,0
npr,0,712,341,96,979,219,64866,274,20.8333333333,6.25,0,0,0
